lat_grid,lon_grid,fire_count,mean_frp,max_frp,mean_bright,mean_risk,high_conf_pct,norm_count,composite_risk,risk_zone
18.0,73.0,1736,5.853225806451613,99.43,335.3462096774194,46.62857942526255,2.1889400921658986,10.867659947414548,21.44103493214444,Low
22.5,78.0,1804,4.716768292682927,76.12,334.13950665188474,46.777363967277125,2.106430155210643,11.293351696506823,21.420575104005447,Low
15.0,76.5,2162,2.9077335800185016,58.6,317.78264107308047,45.90326158362315,0.4162812210915819,13.534493552022036,21.390527965478537,Low
18.5,78.0,1694,5.088063754427391,34.76,338.21586776859505,47.04800673521986,2.2432113341204247,10.60473269062226,21.35764143230517,Low
19.0,73.0,1751,5.4871559109080525,104.78,332.3682581382067,46.423911116010586,2.3415191319246147,10.96156253912608,21.3488256074599,Low
31.0,77.0,1632,5.565140931372548,167.79,324.7368566176471,46.72239608862727,3.6764705882352944,10.216601978214598,21.340689509559418,Low
22.5,92.0,83,20.545421686746987,143.27,339.19397590361444,48.32811170272061,3.614457831325301,0.5195943408038062,21.313839900934894,Low
27.0,74.5,5,8.214,14.81,347.5,50.57432462678073,20.0,0.03130086390384374,21.25346540022413,Low
18.5,80.5,2052,3.7018664717348924,31.07,333.495828460039,45.61622457674691,0.7797270955165692,12.845874546137473,21.23442546075443,Low
32.0,75.0,1179,7.798193384223918,129.21,342.4793977947413,47.1096412628176,6.615776081424936,7.380743708526355,21.196675659571675,Low
11.0,76.5,690,13.129695652173913,343.94,331.33010144927533,47.53811782386371,5.6521739130434785,4.319519218730437,21.179400535345458,Low
30.0,75.0,1485,5.852855218855218,36.49,339.0680740740741,47.09889329770491,3.2323232323232323,9.296356579441593,21.159957375673713,Low
30.5,76.0,1273,6.916174391201886,68.54,341.09216810683427,47.14921949758948,5.106048703849176,7.969199949918618,21.09998915797484,Low
19.0,82.5,1048,10.024847328244276,213.62,338.03767175572517,47.030054421833995,4.3893129770992365,6.560661074245649,21.077014428159526,Low
22.5,77.0,1789,3.9509390721073223,59.89,325.43347121296813,46.14175548619526,2.3476802683063163,11.199449104795292,21.04565039169539,Low
31.0,75.5,1265,6.852877470355731,79.53,340.77056126482216,47.0208196327567,4.901185770750988,7.919118567672467,21.005155686942786,Low
25.0,76.0,1148,7.918118466898955,67.56,335.4146254355401,46.788305279354844,5.83623693379791,7.186678352322525,20.960837252627098,Low
27.0,95.5,183,15.551202185792349,160.85,339.0422404371585,48.64710234577443,6.0109289617486334,1.145611618880681,20.94698975307611,Low
25.5,77.0,332,8.872680722891566,45.96,341.672921686747,48.87068850345498,14.156626506024098,2.0783773632152247,20.91294479683386,Low
21.0,81.0,1828,3.182582056892779,27.94,323.6552188183807,46.43287908204535,0.5470459518599562,11.443595843245273,20.9087363453572,Low
25.5,90.5,783,10.784303959131545,215.86,336.3843295019157,47.975844545097495,3.4482758620689653,4.90171528734193,20.875831157936652,Low
27.0,75.0,10,22.444,92.87,331.492,47.5158728152243,0.0,0.06260172780768748,20.864463528959035,Low
29.5,75.5,1139,6.940763827919227,55.79,341.1731870061457,47.590222369605215,4.038630377524144,7.130336797295605,20.858610852173342,Low
30.5,78.0,1574,4.5315374841169,60.24,323.8824523506988,46.48619108885983,2.7954256670902162,9.853511956930012,20.84885853459654,Low
